DataDate,UpdateTime,AcctIDByMXZ,SecurityID,WindCode,Symbol,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaRealTime,QuotaToTerminate,QuotaOnLastTrdDate,OrdQtyFromPublicSecLoan,OrdQtyFromPrivateSecLoan,OrdQtyFromPrivateSSQSecLoan,OrdQtyFromPrivateJPQSecLoan,OrdQtyFromOutsideSource
20210119,130940,8111_m_huat_9239,000669,000669.SZ,*ST金鸿,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000673,000673.SZ,*ST当代,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000676,000676.SZ,智度股份,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000677,000677.SZ,恒天海龙,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000679,000679.SZ,*ST友谊,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000681,000681.SZ,视觉中国,14000,1,0,0,0.0,0.0,0,0.0,0.0,0,0,14000
20210119,130940,8111_m_huat_9239,000687,000687.SZ,*ST华讯,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000688,000688.SZ,国城矿业,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000692,000692.SZ,惠天热电,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000695,000695.SZ,滨海能源,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000697,000697.SZ,炼石航空,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000700,000700.SZ,模塑科技,34500,1,0,0,0.0,0.0,0,0.0,0.0,0,0,34500
20210119,130940,8111_m_huat_9239,000702,000702.SZ,正虹科技,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000707,000707.SZ,ST双环,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
