DataDate,SecurityID,WindCode,SecName,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaOnLastTrdDate,QtyToTerminate,QtyToLock,QtyToBorrowFromPublicSecPool,QtyToBorrowFromOutsideSource
20201103,300096,300096.SZ,易联众,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300097,300097.SZ,智云股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300099,300099.SZ,精准信息,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300100,300100.SZ,双林股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300101,300101.SZ,振芯科技,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300102,300102.SZ,乾照光电,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300103,300103.SZ,达刚控股,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300105,300105.SZ,龙源技术,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300106,300106.SZ,西部牧业,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300107,300107.SZ,建新股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300108,300108.SZ,吉药控股,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300109,300109.SZ,新开源,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300110,300110.SZ,华仁药业,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300111,300111.SZ,向日葵,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300112,300112.SZ,万讯自控,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300116,300116.SZ,保力新,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300117,300117.SZ,嘉寓股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300118,300118.SZ,东方日升,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300120,300120.SZ,经纬辉开,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300123,300123.SZ,亚光科技,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300124,300124.SZ,汇川技术,1000,1,0.0,1061.0,0.0,0.0,0.0,1000.0,0.0
20201103,300125,300125.SZ,聆达股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300126,300126.SZ,锐奇股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300127,300127.SZ,银河磁体,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300128,300128.SZ,锦富技术,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300129,300129.SZ,泰胜风能,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300130,300130.SZ,新国都,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300131,300131.SZ,英唐智控,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300132,300132.SZ,青松股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300134,300134.SZ,大富科技,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300135,300135.SZ,宝利国际,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300137,300137.SZ,先河环保,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300138,300138.SZ,晨光生物,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300139,300139.SZ,晓程科技,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300140,300140.SZ,中环装备,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300141,300141.SZ,和顺电气,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300143,300143.SZ,盈康生命,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300145,300145.SZ,中金环境,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300147,300147.SZ,香雪制药,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300151,300151.SZ,昌红科技,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300152,300152.SZ,科融环境,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300153,300153.SZ,科泰电源,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300154,300154.SZ,瑞凌股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300155,300155.SZ,安居宝,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300157,300157.SZ,恒泰艾普,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300159,300159.SZ,新研股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300160,300160.SZ,秀强股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300162,300162.SZ,雷曼光电,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300163,300163.SZ,先锋新材,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300164,300164.SZ,通源石油,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300165,300165.SZ,天瑞仪器,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300167,300167.SZ,迪威迅,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300169,300169.SZ,天晟新材,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300171,300171.SZ,东富龙,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300172,300172.SZ,中电环保,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300173,300173.SZ,福能东方,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300175,300175.SZ,朗源股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300176,300176.SZ,派生科技,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300177,300177.SZ,中海达,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300178,300178.SZ,腾邦国际,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300179,300179.SZ,四方达,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300181,300181.SZ,佐力药业,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300185,300185.SZ,通裕重工,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300187,300187.SZ,永清环保,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300189,300189.SZ,神农科技,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300194,300194.SZ,福安药业,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300197,300197.SZ,铁汉生态,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300198,300198.SZ,纳川股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300199,300199.SZ,翰宇药业,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300201,300201.SZ,海伦哲,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300202,300202.SZ,聚龙股份,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300203,300203.SZ,聚光科技,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300205,300205.SZ,天喻信息,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300208,300208.SZ,青岛中程,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300209,300209.SZ,天泽信息,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300210,300210.SZ,森远股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300211,300211.SZ,亿通科技,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300217,300217.SZ,东方电热,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300218,300218.SZ,安利股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300220,300220.SZ,金运激光,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300221,300221.SZ,银禧科技,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300222,300222.SZ,科大智能,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300225,300225.SZ,金力泰,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300228,300228.SZ,富瑞特装,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300230,300230.SZ,永利股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300237,300237.SZ,美晨生态,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300238,300238.SZ,冠昊生物,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300239,300239.SZ,东宝生物,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300240,300240.SZ,飞力达,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300242,300242.SZ,佳云科技,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300243,300243.SZ,瑞丰高材,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300246,300246.SZ,宝莱特,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300247,300247.SZ,融捷健康,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300248,300248.SZ,新开普,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300249,300249.SZ,依米康,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300251,300251.SZ,光线传媒,1000,1,0.0,35835.0,100.0,0.0,0.0,900.0,0.0
20201103,300252,300252.SZ,金信诺,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300254,300254.SZ,仟源医药,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300259,300259.SZ,新天科技,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300260,300260.SZ,新莱应材,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300261,300261.SZ,雅本化学,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300262,300262.SZ,巴安水务,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300264,300264.SZ,佳创视讯,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300265,300265.SZ,通光线缆,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300266,300266.SZ,兴源环境,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300267,300267.SZ,尔康制药,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,300268,300268.SZ,佳沃股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,300269,300269.SZ,联建光电,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
