仓位,,,,,,,,,,,
账户,代码,名称,股数,浮盈,均价,,,,,,
msm7haiti,300134,undefined,-19600,1449.37,10.05,,,,,,
msm7haiti,601717,undefined,-12500,2774.53,10.37,,,,,,
msm7haiti,2085,undefined,-7300,652.78,6.63,,,,,,
msm7haiti,300142,undefined,-5500,5111.49,39.22,,,,,,
msm7haiti,688288,undefined,-5244,-1459.88,35.99,,,,,,
msm7haiti,688116,undefined,-4500,-6511.52,53.64,,,,,,
msm7haiti,2466,undefined,-4100,-2373.13,36.66,,,,,,
msm7haiti,688196,undefined,-3300,333.06,65.43,,,,,,
msm7haiti,300357,undefined,-3000,-192,73.34,,,,,,
msm7haiti,300294,undefined,-2300,323.16,34.78,,,,,,
msm7haiti,688300,undefined,-1900,396.45,46.94,,,,,,
msm7haiti,300759,undefined,-1800,3296.24,118.35,,,,,,
msm7haiti,2812,undefined,-1400,-8007.81,135.49,,,,,,
msm7haiti,603678,undefined,-1400,705.33,62.91,,,,,,
msm7haiti,2353,undefined,-1200,689.89,34.55,,,,,,
msm7haiti,688021,undefined,-1100,767.36,64.15,,,,,,
msm7haiti,688108,undefined,-900,286.23,13.79,,,,,,
msm7haiti,2670,undefined,-700,86.81,11.8,,,,,,
msm7haiti,2460,undefined,-200,-527,96.42,,,,,,
msm7haiti,688030,undefined,-200,58.15,30.84,,,,,,
msm7haiti,688321,undefined,-93,98.67,38.31,,,,,,
msm7haiti,688389,undefined,5400,-2609.75,21.17,,,,,,
msm7haiti,300326,undefined,13400,-2220.74,16.24,,,,,,
总利润：,-6872.31129,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
9:34:54,msm7haiti,SJNAT581829e7420e49f8981d49f5657dcb07,128,688022,瀚川智能,32.89,-600,32.89,-600,0,已成
9:34:57,msm7haiti,SJNATfbfc5a7beb5b49dbaa43dcaebd49f4f1,129,688321,微芯生物,38.3,-3000,38.3,-894,2106,已撤
9:35:29,msm7haiti,SJNAT9eaef0d940934116be3273e1c95ac8f2,131,688196,卓越新能,65.21,-1000,65.28,-1000,0,已成
9:35:51,msm7haiti,SJNATd5459304eff548c5b874f3eaf4e7193a,132,688099,晶晨股份,79.63,-200,0,0,200,已撤
9:35:52,msm7haiti,SJNAT178061033cb543a5bcfb83bfde50e6e2,133,603678,火炬电子,61.82,-1800,0,0,1800,已撤
9:35:54,msm7haiti,SJNAT4324f2525cdf4c1598d275d398b13f51,134,688196,卓越新能,65.37,-700,65.37472,-700,0,已成
9:35:57,msm7haiti,SJNATb40a787f22c846be9f43b5d834cc1866,137,688196,卓越新能,65.37,-600,65.37,-600,0,已成
9:36:23,msm7haiti,SJNAT6db3ec39511843bf96fc1d0d7f754acd,139,601717,郑煤机,10.33,-7700,0,0,7700,已撤
9:37:23,msm7haiti,SJNAT9a6dde12ce79427b8890c4ad533abf77,141,601717,郑煤机,10.38,-7700,10.38,-7700,0,已成
9:37:28,msm7haiti,SJNATc7c5baa278ec43aaab8f398121915603,142,688116,天奈科技,53.54,-200,0,0,200,已撤
9:37:28,msm7haiti,SJNAT76f16b80050746249bdac1c1490d1458,143,688021,奥福环保,63.06,1100,0,0,1100,已撤
9:37:29,msm7haiti,SJNAT5c722f140fb4488cbc36b2f939666880,144,688196,卓越新能,65.58,-1000,65.64,-1000,0,已成
9:37:53,msm7haiti,SJNAT7d739cdb2729449dbc971b1098252995,147,639,西王食品,6.62,-2500,6.64,-2500,0,已成
9:37:56,msm7haiti,SJNAT4662a4235b6a4fd7a29735abedf158fb,148,688116,天奈科技,53.64,-800,53.64,-800,0,已成
9:37:56,msm7haiti,SJNATe81b5f742cae441abfda5c5ac4ac1566,149,603678,火炬电子,62.21,-1800,62.21,-1800,0,已成
9:38:49,msm7haiti,SJNATbbe74da9bd8445c59bbf68657064fd53,151,603678,火炬电子,62.6,-300,62.6,-300,0,已成
9:38:52,msm7haiti,SJNAT3e1c7fe75ddc4daf9e25c8320a0ed1a0,152,601919,中远海控,10.44,-13400,0,0,13400,已撤
