未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
09:30:31.698,mslh18hait6618,75,000516,国际医学,11.84,-4300,11.85117,-856,0,未成
10:01:30.926,mslh18hait6618,5455,600746,江苏索普,6.6,10200,6.6,7600,0,未成
10:01:55.863,mslh18hait6618,5461,002239,奥特佳,4.92,65200,0,0,0,已报
10:01:00.758,mslh18hait6618,5437,603306,华懋科技,22.59,3900,22.59,2300,0,未成
10:02:01.432,mslh18hait6618,5472,300604,长川科技,29.51,1700,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,603809,undefined,-200,43.58,20.10
mslh18hait6618,603666,undefined,-200,166.47,88.28
mslh18hait6618,600908,undefined,-200,-7.81,5.65
mslh18hait6618,600888,undefined,-200,0.09,5.98
mslh18hait6618,600645,undefined,-200,-49.28,19.59
mslh18hait6618,300416,undefined,-200,-5.09,22.16
mslh18hait6618,300360,undefined,-200,3.08,9.13
mslh18hait6618,300130,undefined,-200,-15.46,10.81
mslh18hait6618,002966,undefined,-200,3.60,7.52
mslh18hait6618,002440,undefined,-200,-16.94,9.17
mslh18hait6618,002377,undefined,-200,-3.22,3.82
mslh18hait6618,002327,undefined,-200,15.64,7.39
mslh18hait6618,002320,undefined,-200,13.07,9.18
mslh18hait6618,002048,undefined,-200,-16.96,15.48
mslh18hait6618,603883,undefined,-100,53.79,63.94
mslh18hait6618,603855,undefined,-100,27.60,15.04
mslh18hait6618,603595,undefined,-100,-9.19,19.91
mslh18hait6618,603496,undefined,-100,-3.46,15.40
mslh18hait6618,603355,undefined,-100,-26.77,29.77
mslh18hait6618,603197,undefined,-100,-13.53,28.29
mslh18hait6618,600846,undefined,-100,-0.30,8.13
mslh18hait6618,600315,undefined,-100,69.03,37.45
mslh18hait6618,600167,undefined,-100,-18.83,11.39
mslh18hait6618,300763,undefined,-100,21.34,154.18
mslh18hait6618,300625,undefined,-100,0.55,15.32
mslh18hait6618,300572,undefined,-100,13.30,35.67
mslh18hait6618,300349,undefined,-100,-10.00,12.47
mslh18hait6618,300288,undefined,-100,0.24,11.01
mslh18hait6618,300286,undefined,-100,-0.55,15.92
mslh18hait6618,300236,undefined,-100,10.21,48.72
mslh18hait6618,300190,undefined,-100,-4.17,7.28
