仓位,,,,,,,,,,,
账户,代码,名称,股数,浮盈,均价,,,,,,
msm7haiti,601717,郑煤机,-12800,-479.47,10.37,,,,,,
msm7haiti,2353,杰瑞股份,-7000,-1115.82,33.71,,,,,,
msm7haiti,2214,大立科技,-6200,-1946.01,27.37,,,,,,
msm7haiti,300072,三聚环保,-5600,-1002.73,5.63,,,,,,
msm7haiti,2466,天齐锂业,-4100,-6439.69,35.65,,,,,,
msm7haiti,688389,,-3020,0,20.67,,,,,,
msm7haiti,688030,,-2831,0,29.99,,,,,,
msm7haiti,300357,我武生物,-1700,234.85,74.96,,,,,,
msm7haiti,2382,蓝帆医疗,-1000,404.45,22.3,,,,,,
msm7haiti,2202,金风科技,-1000,-412.53,14.01,,,,,,
msm7haiti,2007,华兰生物,-1000,352.41,42.32,,,,,,
msm7haiti,688015,,-200,0,37.18,,,,,,
msm7haiti,688288,,-100,-2.71,35.69,,,,,,
msm7haiti,300251,光线传媒,-100,15.22,11.18,,,,,,
msm7haiti,688021,,55,0,61.24,,,,,,
msm7haiti,300595,,300,571.04,78.7,,,,,,
msm7haiti,688099,,1300,-1584.11,74.3,,,,,,
msm7haiti,600765,中航重机,1300,153.65,19.85,,,,,,
msm7haiti,2238,天威视讯,9900,851.73,7.13,,,,,,
msm7haiti,100,TCL集团,29600,1747.59,6.71,,,,,,
msm7haiti,813,天山纺织,33000,-9183.47,5.23,,,,,,
总利润：,-24887.86681,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
已完成交易,,,,,,,,,,,
9:32:28,msm7haiti,SJNATec62794cbc0040e6b52a924413e97c51,98,600765,中航重机,19.84,6800,0,0,6800,已撤
9:32:28,msm7haiti,SJNAT671df4c2e4cc409a94b51c727ccadb52,99,603799,华友钴业,67.99,-600,68,-600,0,已成
9:32:29,msm7haiti,SJNATb6591e242fad44b49e60d7587d898fb6,100,688196,,64.56,3300,64.56,500,2800,已撤
9:32:55,msm7haiti,SJNAT8e8948cfdbcf46a8b02aecd6270139e1,104,688288,,35.69,-100,35.69,-100,0,已成
9:32:55,msm7haiti,SJNATc5f5921022844ddaa714cdc575f685c7,105,601919,中国远洋,10.57,-13400,10.57,-13400,0,已成
9:32:56,msm7haiti,SJNAT9abf820202de446e9646baf6b15476dd,106,600456,宝钛股份,46.96,3100,46.92161,3100,0,已成
9:32:59,msm7haiti,SJNATc64f60a71a2440168a37ecaf9925e2cd,108,2466,天齐锂业,35.67,-3000,35.68967,-3000,0,已成
9:33:01,msm7haiti,SJNAT05d526bff0a040cf8c89aba5c0b03601,110,688116,,55.47,-200,0,0,200,已撤
9:33:23,msm7haiti,SJNATaf4b5eda0ab545429d5589355c151fb8,112,688116,,55.37,-600,0,0,600,已撤
9:33:24,msm7haiti,SJNAT1be05e3077f64435ac452c29b695e095,113,603678,火炬电子,62.05,2000,62.05,2000,0,已成
9:33:31,msm7haiti,SJNATc4c26d34ef1e44cca2ed03aa36a89a43,115,603678,火炬电子,62.05,200,62.05,200,0,已成
