未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
10:01:26.567,mslh18hait6618,5739,000733,振华科技,55,1800,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,300476,undefined,-400,-10.16,22.12
mslh18hait6618,000417,undefined,-400,12.85,4.93
mslh18hait6618,603233,undefined,-400,-341.05,76.51
mslh18hait6618,300066,undefined,-400,49.01,4.70
mslh18hait6618,000650,undefined,-400,11.93,6.37
mslh18hait6618,300298,undefined,-400,204.42,33.83
mslh18hait6618,300464,undefined,-400,-207.82,18.38
mslh18hait6618,000789,undefined,-400,-40.47,13.22
mslh18hait6618,300348,undefined,-400,108.26,18.40
mslh18hait6618,002266,undefined,-400,1.26,4.29
mslh18hait6618,600056,undefined,-300,13.96,14.68
mslh18hait6618,002962,undefined,-300,3.69,17.32
mslh18hait6618,002029,undefined,-300,24.41,5.41
mslh18hait6618,000400,undefined,-300,43.12,16.44
mslh18hait6618,300531,undefined,-300,79.50,15.67
mslh18hait6618,300577,undefined,-300,56.38,26.34
mslh18hait6618,300351,undefined,-300,13.27,9.87
mslh18hait6618,000078,undefined,-300,16.03,4.11
mslh18hait6618,002216,undefined,-300,78.04,24.98
mslh18hait6618,600483,undefined,-300,29.10,8.14
mslh18hait6618,300020,undefined,-300,107.09,8.22
mslh18hait6618,300276,undefined,-300,12.97,4.23
mslh18hait6618,600323,undefined,-300,-169.77,22.34
mslh18hait6618,002236,undefined,-200,-6.06,18.94
mslh18hait6618,002950,undefined,-200,85.28,21.10
mslh18hait6618,600299,undefined,-200,58.21,11.91
mslh18hait6618,600449,undefined,-200,-18.22,13.18
mslh18hait6618,603111,undefined,-200,18.17,5.73
mslh18hait6618,300041,undefined,-200,27.43,14.30
mslh18hait6618,603236,undefined,-200,173.52,176.71
mslh18hait6618,000925,undefined,-200,10.08,6.02
mslh18hait6618,603385,undefined,-200,4.50,10.96
mslh18hait6618,688016,undefined,-200,1276.95,260.80
mslh18hait6618,600572,undefined,-200,6.43,4.92
mslh18hait6618,300725,undefined,-200,309.28,127.57
mslh18hait6618,000928,undefined,-200,6.64,4.27
mslh18hait6618,002609,undefined,-200,13.04,9.27
mslh18hait6618,300580,undefined,-200,33.36,20.78
mslh18hait6618,000567,undefined,-200,-32.83,8.81
mslh18hait6618,002878,undefined,-200,133.06,21.82
mslh18hait6618,688196,undefined,-200,-144.93,65.28
mslh18hait6618,603313,undefined,-150,22.03,31.16
mslh18hait6618,300559,undefined,-100,13.88,13.31
mslh18hait6618,002793,undefined,-100,13.26,10.93
mslh18hait6618,002755,undefined,-100,1.87,13.32
mslh18hait6618,002596,undefined,-100,-4.85,5.32
mslh18hait6618,002776,undefined,-100,7.16,5.29
mslh18hait6618,000042,undefined,-100,3.57,8.93
mslh18hait6618,600557,undefined,-100,5.22,11.13
mslh18hait6618,603258,undefined,-100,31.15,30.38
