未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
13:07:57.089,mslh18hait6618,8014,002285,世联行,4.73,-1700,0,0,0,已报
13:07:58.024,mslh18hait6618,8018,603078,江化微,33.32,-100,0,0,0,已报
13:09:01.255,mslh18hait6618,8024,300297,蓝盾股份,4.95,-4900,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,600885,undefined,400,-152.96,54.07
mslh18hait6618,603823,undefined,400,14.55,14.71
mslh18hait6618,603658,undefined,400,527.57,143.16
mslh18hait6618,300696,undefined,500,342.83,52.08
mslh18hait6618,300690,undefined,500,-691.24,60.10
mslh18hait6618,600845,undefined,500,-252.38,65.80
mslh18hait6618,603096,undefined,500,93.67,51.44
mslh18hait6618,603129,undefined,500,-1829.02,170.28
mslh18hait6618,600872,undefined,500,331.98,65.65
mslh18hait6618,603055,undefined,500,-4.82,6.03
mslh18hait6618,002068,undefined,500,30.11,6.05
mslh18hait6618,603899,undefined,600,-816.41,87.88
mslh18hait6618,603803,undefined,600,31.54,10.84
mslh18hait6618,603313,undefined,600,-499.69,33.64
mslh18hait6618,603638,undefined,600,-208.90,68.84
mslh18hait6618,603599,undefined,600,51.83,23.00
mslh18hait6618,603809,undefined,700,376.07,20.01
mslh18hait6618,603103,undefined,700,64.82,17.03
mslh18hait6618,603568,undefined,700,-58.37,19.12
mslh18hait6618,603605,undefined,700,868.07,168.08
mslh18hait6618,002092,undefined,700,7.28,5.98
mslh18hait6618,603181,undefined,800,207.49,18.91
mslh18hait6618,002918,undefined,900,-270.55,32.53
mslh18hait6618,002180,undefined,900,-343.36,26.22
mslh18hait6618,002267,undefined,900,-0.56,6.63
mslh18hait6618,000524,undefined,1000,207.62,7.56
mslh18hait6618,600966,undefined,1000,126.59,14.51
mslh18hait6618,603156,undefined,1000,-220.49,25.45
mslh18hait6618,300741,undefined,1000,831.00,53.63
mslh18hait6618,300529,undefined,1100,-1164.27,70.15
mslh18hait6618,300699,undefined,1200,2233.45,85.12
mslh18hait6618,603060,undefined,1200,452.80,19.04
mslh18hait6618,600961,undefined,1200,81.99,7.23
mslh18hait6618,601137,undefined,1300,170.95,11.44
mslh18hait6618,600532,undefined,1400,-118.91,13.40
mslh18hait6618,603337,undefined,1400,90.35,29.22
mslh18hait6618,300713,undefined,1400,-1198.59,23.25
mslh18hait6618,300604,undefined,1400,1271.42,28.01
mslh18hait6618,300759,undefined,1400,-364.71,119.57
mslh18hait6618,601216,undefined,1500,33.18,4.90
mslh18hait6618,300299,undefined,1600,92.51,7.42
mslh18hait6618,300113,undefined,1600,197.30,16.56
mslh18hait6618,603885,undefined,1600,99.44,11.09
mslh18hait6618,601677,undefined,1700,290.86,13.87
mslh18hait6618,300378,undefined,1700,742.37,26.68
mslh18hait6618,002285,undefined,1700,-80.89,4.77
mslh18hait6618,002623,undefined,1800,139.02,41.20
mslh18hait6618,603229,undefined,1800,291.46,36.12
mslh18hait6618,603187,undefined,1900,326.71,58.43
mslh18hait6618,002773,undefined,2000,-296.62,47.75
mslh18hait6618,300639,undefined,2000,210.14,37.63
mslh18hait6618,002434,undefined,2000,212.39,8.53
mslh18hait6618,603185,undefined,2100,-1475.75,139.99
mslh18hait6618,300582,undefined,2300,-267.20,17.79
mslh18hait6618,600507,undefined,2300,411.41,6.80
mslh18hait6618,002074,undefined,2600,834.88,36.50
mslh18hait6618,002549,undefined,2800,-143.83,8.03
mslh18hait6618,600741,undefined,3100,349.73,29.36
mslh18hait6618,002242,undefined,3200,-1213.34,31.78
mslh18hait6618,600989,undefined,3300,-655.43,11.78
mslh18hait6618,300124,undefined,3600,376.48,88.43
mslh18hait6618,300015,undefined,3700,3845.94,72.04
mslh18hait6618,300740,undefined,4100,1598.94,16.74
mslh18hait6618,002435,undefined,4400,455.28,3.99
mslh18hait6618,300297,undefined,4900,-136.76,4.96
mslh18hait6618,600363,undefined,5400,-97.43,23.76
mslh18hait6618,000060,undefined,5600,124.41,4.84
mslh18hait6618,002594,undefined,5800,34028.27,184.29
mslh18hait6618,002487,undefined,6200,1026.47,9.08
mslh18hait6618,002563,undefined,7300,3262.30,9.19
mslh18hait6618,002674,undefined,7400,-2127.07,12.38
mslh18hait6618,002544,undefined,7500,1546.07,16.53
mslh18hait6618,600330,undefined,7800,1513.69,9.79
mslh18hait6618,600295,undefined,7900,-58.76,10.89
mslh18hait6618,300131,undefined,8000,-265.39,8.25
mslh18hait6618,601865,undefined,8100,3170.46,36.25
mslh18hait6618,603369,undefined,9400,4712.14,56.56
mslh18hait6618,000860,undefined,9900,11144.75,70.22
mslh18hait6618,002189,undefined,10700,1662.85,20.59
mslh18hait6618,002378,undefined,10800,1536.88,5.73
mslh18hait6618,600965,undefined,11200,570.24,5.63
mslh18hait6618,002475,undefined,11500,-3098.19,55.59
mslh18hait6618,002284,undefined,13400,-808.49,6.50
mslh18hait6618,000922,undefined,14600,1409.09,8.34
mslh18hait6618,000636,undefined,14978,6593.86,30.89
mslh18hait6618,603306,undefined,15100,-4000.36,23.05
mslh18hait6618,000983,undefined,15400,1244.49,5.67
mslh18hait6618,002128,undefined,17000,2534.58,11.09
mslh18hait6618,000923,undefined,18500,17270.32,25.08
mslh18hait6618,000960,undefined,22100,-3056.25,11.53
mslh18hait6618,000729,undefined,23300,2466.92,8.73
mslh18hait6618,600338,undefined,24500,12301.61,9.74
mslh18hait6618,600298,undefined,26000,19646.89,49.80
mslh18hait6618,600110,undefined,26200,-1424.34,9.01
mslh18hait6618,002643,undefined,26400,18955.46,20.45
mslh18hait6618,600197,undefined,39100,4793.49,28.93
mslh18hait6618,002126,undefined,41800,-5278.86,13.55
mslh18hait6618,000998,undefined,42900,-5729.54,19.28
mslh18hait6618,600740,undefined,49200,-974.69,6.14
mslh18hait6618,600586,undefined,75600,24940.26,5.74
mslh18hait6618,002600,undefined,110200,5960.88,11.90
mslh18hait6618,300393,undefined,125800,-10225.02,13.13
mslh18hait6618,000100,undefined,205300,-8798.25,6.99
总利润：,-269208.71512550005



已完成交易
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
11:19:28,mslh18hait6618,SJNAT6a979187c0d04fe284d55fe01236f5b4,7691,000960,锡业股份,11.48,-10500,11.48,-1600,8900,已撤
11:19:29,mslh18hait6618,SJNAT3850798eb113480f9069153fcce04d07,7694,603078,江化微,33.66,-100,0,0,100,已撤
11:19:31,mslh18hait6618,SJNATa28ed6dcd9f64a8693012ffc151e0e26,7695,000960,锡业股份,11.46,-1600,11.47,-1600,0,已成
11:19:54,mslh18hait6618,SJNATe13ab568ed634659a6b459b8d22aed52,7700,601958,金钼股份,6.26,-1000,6.26,-1000,0,已成
11:19:59,mslh18hait6618,SJNATeffec6baf8cb4db0ad37a5befb182af5,7701,603906,龙蟠科技,30.54,-1300,30.54692,-1300,0,已成
11:20:00,mslh18hait6618,SJNAT269412caf46a48a0aa97fd2818405f71,7702,300026,红日药业,4.57,4000,0,0,4000,已撤
11:20:24,mslh18hait6618,SJNAT8e4ba2d2dc724338ac73b0357d64fab3,7703,603855,华荣股份,16.15,-100,16.15,-100,0,已成
11:20:28,mslh18hait6618,SJNAT1fa3ae6805654fca8f68ccd86f46c4c5,7705,000807,云铝股份,7.69,-16200,7.69,-16200,0,已成
11:20:31,mslh18hait6618,SJNATbc5bc990404a4eddbb04486d4f0d8d0f,7707,600337,美克家居,4.59,1200,0,0,1200,已撤
11:21:00,mslh18hait6618,SJNAT9fa7fbd9e9ec428e9fccb854be6f02cd,7710,002537,海联金汇,7.1,-14600,7.1,-5100,9500,已撤
11:21:00,mslh18hait6618,SJNAT9e48b978d1914d89a472220956d6cad0,7712,600971,恒源煤电,6.52,-16100,6.52,-11000,5100,已撤
11:21:00,mslh18hait6618,SJNATc164139808b441f49fd383208ee9ba67,7714,002517,恺英网络,4.82,-4200,0,0,4200,已撤
11:21:00,mslh18hait6618,SJNAT94fa777f709547dcb62ae0c127c34929,7715,600893,航发动力,54.5,-1700,54.58,-1700,0,已成
11:21:00,mslh18hait6618,SJNAT60804be752c24b88a709a8dbe8e6c001,7716,600765,中航重机,22.66,-3100,0,0,3100,已撤
11:21:00,mslh18hait6618,SJNAT9e50542807c740f39ecd77993eba539a,7717,600864,哈投股份,8.14,-37700,8.141061,-37700,0,已成
11:21:00,mslh18hait6618,SJNAT1a15b10711e146828fe253a9751878de,7720,603906,龙蟠科技,30.6,-1100,30.6,-1100,0,已成
