stock_code,current_amount,cost_price,income_balance,last_price
600773,5400,0,-5720.95,6.51
600776,200,0,199.67,11.96
600782,2500,0,1611.93,4.51
600783,200,0,-61.35,13.91
600787,400,0,-44.32,4.62
600797,900,0,-116.96,6.82
600800,9000,0,-3087.77,4.61
600804,500,0,-426.89,7.01
600809,3100,0,427872.07,360
600810,6810,0,-127779.04,8.83
600812,13500,0,-6007.22,10.36
600822,8300,0,-3718.4,10.37
600823,12100,0,650.03,4.66
600827,9800,0,-2603.19,14.07
600834,300,0,-97.99,9.44
600835,500,0,-416.71,19.35
600845,900,0,-3155.19,65.37
600846,100,0,-17.23,8.15
600848,100,0,16.67,19.78
600850,900,0,42.66,26.32
600859,36200,0,-124707.24,31.19
600864,67065,0,80084.52,8.01
600867,1000,0,407.18,13.41
600872,6421,0,-10122.33,65
600873,800,0,-141.31,4.7
600874,400,0,25.75,6.72
600875,2200,0,-1981.76,9.97
600879,3300,0,71.89,7.18
600882,18200,0,219512.77,51.7
688333,193,0,-2928.86,142.01
688363,1400,0,-17837.55,135.43
688368,187,0,-2461.31,162.25
688388,1036,0,24655.32,83.98
753501,60,0,0,0
1,60400,0,23480.86,19.17
2,32200,0,-58689.54,28.52
4,1000,0,-595.18,20.66
6,0,0,0,
9,10000,0,-106.01,7.33
11,0,0,0,
12,25100,0,-15539.03,7.07
21,500,0,-35.23,18.4
26,200,0,-17.19,10.95
30,600,0,-3612.48,7.3
31,0,0,0,
34,8500,0,-21418.73,21.42
37,900,0,-178.53,11.09
39,5107,0,116984.54,14.47
48,0,0,0,
59,1000,0,333.43,5.49
60,5600,0,3054.35,4.66
65,200,0,-46.23,7.37
78,1500,0,-45.91,4.02
88,200,0,34.24,6.39
89,400,0,-36.48,7.98
90,400,0,-67.48,6.01
99,200,0,9.78,7.24
100,495300,0,-806937.36,6.7
600885,15003,0,-23382.9,52.44
600886,0,0,0,
600888,3600,0,4137.36,5.86
600890,3800,0,-955.01,4.84
600893,22200,0,217456.96,51.32
600894,1900,0,-1889.52,7.87
