仓位
账户,代码,名称,股数,浮盈,均价
msm7haiti,000725,undefined,-40000,-2360.28,5.62
msm7haiti,300296,undefined,-29800,-2383.67,6.23
msm7haiti,002085,undefined,-26000,3894.18,6.42
msm7haiti,600804,undefined,-21100,622.45,6.57
msm7haiti,000503,undefined,-20200,4360.43,8.57
msm7haiti,600075,undefined,-17300,1172.37,5.64
msm7haiti,300326,undefined,-13400,-2351.28,15.89
msm7haiti,688030,undefined,-6500,-1641.85,33.88
msm7haiti,688116,undefined,-4500,-2990.21,58.95
msm7haiti,688288,undefined,-3400,603.94,35.35
msm7haiti,688015,undefined,-2400,-1277.51,36.64
msm7haiti,000768,undefined,-2000,1850.33,33.52
msm7haiti,300482,undefined,-1800,6084.43,91.99
msm7haiti,300122,undefined,-1600,3919.84,154.48
msm7haiti,002812,undefined,-1400,-405.91,138.34
msm7haiti,002202,undefined,-1000,207.93,14.46
msm7haiti,300124,undefined,-1000,-1923.97,89.65
msm7haiti,002382,undefined,-1000,-606.42,21.41
msm7haiti,688300,undefined,-900,-326.40,45.36
msm7haiti,688321,undefined,-420,134.76,37.04
msm7haiti,300357,undefined,-300,444.03,75.24
msm7haiti,688021,undefined,-200,-100.31,63.38
msm7haiti,688389,undefined,-62,-10.55,21.44
msm7haiti,688022,undefined,-44,-42.86,33.58
msm7haiti,002670,undefined,700,134.22,11.24
msm7haiti,002271,undefined,2000,-724.85,39.26
msm7haiti,688196,undefined,2800,-2578.70,62.94
msm7haiti,000830,undefined,5100,-1392.39,13.24
msm7haiti,000157,undefined,21200,-1169.48,9.51
总利润：,1142.2679200000002



已完成交易
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
13:11:33,msm7haiti,SJNAT61eb00a3e6eb45148fc6b837ecb2852a,460,002085,万丰奥威,6.26,12700,0,0,12700,已撤
13:12:26,msm7haiti,SJNAT2872b208ca8b4236b95cd84993ace069,461,688011,新光光电,52.66,300,52.64,300,0,已成
13:15:32,msm7haiti,SJNAT9badf495a8024cf8950fbf3719c5abab,463,300168,万达信息,21.08,1400,21.05,1400,0,已成
13:18:33,msm7haiti,SJNAT9eb22db21cee4f0e8415c52224a7de68,464,688099,晶晨股份,73.01,-800,0,0,800,已撤
13:26:33,msm7haiti,SJNATe6fd1588ab4444e4876141417bbe5f04,466,688099,晶晨股份,72.98,-800,72.98,-800,0,已成



信息统计
账户,代码,名称,利润,笔数,股数,交易额,费用
msm7haiti,000813,undefined,-10795.48,undefined,33000,300960,235.49
msm7haiti,600395,undefined,-8412.48,undefined,24000,405668,320.49
msm7haiti,300134,undefined,-4764.13,undefined,12200,240522,190.13
msm7haiti,688011,undefined,-4189.36,undefined,3600,378371.4,300.75
msm7haiti,300274,undefined,-2699.36,undefined,1000,144561,114.36
msm7haiti,688389,undefined,-2180.23,undefined,9500,409293.6,326.51
msm7haiti,688022,undefined,-1700.08,undefined,3356,226908.3,180.77
msm7haiti,000830,undefined,-1084.27,undefined,8800,232163,185.28
msm7haiti,601238,undefined,-691.08,undefined,1000,26770,21.08
msm7haiti,688196,undefined,-530.39,undefined,500,62460.66,49.73
msm7haiti,300168,undefined,-524.53,1,1400,58462,46.53
msm7haiti,688108,undefined,-271.66,undefined,900,24732,19.66
msm7haiti,002460,undefined,-28.38,undefined,200,42966,34.38
msm7haiti,002214,undefined,286.08,undefined,2300,128407,102.92
msm7haiti,600362,undefined,314.57,undefined,2300,95289,76.43
msm7haiti,688099,undefined,536.60,undefined,2300,333122.5,266.90
msm7haiti,002074,undefined,638.74,undefined,1000,76140,61.26
msm7haiti,300482,undefined,671.89,undefined,400,72858.55,58.65
msm7haiti,002294,undefined,732.06,undefined,900,51948,41.95
msm7haiti,600531,undefined,930.28,undefined,36000,437601,350.72
msm7haiti,002238,undefined,1019.56,undefined,29300,433445,347.44
