时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
13:18:28,mslh18hait6618,SJNAT5270b34094954b3fb23b0b65a916bb38,10337,600089,特变电工,10.69,-114900,0,0,114900,已撤
13:18:31,mslh18hait6618,SJNAT8064f2541b244886a3b1567db081d4cf,10341,2126,银轮股份,13.67,-1300,13.67,-1300,0,已成
13:18:33,mslh18hait6618,SJNATb00d2825145b4d83a6503a672bec69f5,10346,688099,晶晨股份,73.01,-700,0,0,700,已撤
13:18:54,mslh18hait6618,SJNAT494fb1162ed34530b679397bae04fa0c,10347,600089,特变电工,10.66,-46100,10.66505,-46100,0,已成
13:20:24,mslh18hait6618,SJNATe6d3384dd71c47b6889de0813c3c7243,10352,600089,特变电工,10.66,-20100,10.66289,-20100,0,已成
13:20:28,mslh18hait6618,SJNAT7db9761e7a3344c6a632669b501d5839,10353,600089,特变电工,10.64,-51200,10.64008,-51200,0,已成
13:20:56,mslh18hait6618,SJNAT1a11b74f26464faa9b1b64a26efa50b4,10354,603916,苏博特,22.44,-100,22.44,-100,0,已成
13:20:56,mslh18hait6618,SJNATc4b635db44c1450c8e00315665f26cbd,10356,600160,巨化股份,8.18,-2900,8.18,-2900,0,已成
13:22:28,mslh18hait6618,SJNAT1a15840d8f844f59a7d88649c1856cfe,10365,717,韶钢松山,4.32,-1700,4.32,-1700,0,已成
13:22:56,mslh18hait6618,SJNATf94674d71e6442a2ac584a1e08b5ee04,10368,2377,国创高新,3.76,100,0,0,100,已撤
13:22:56,mslh18hait6618,SJNAT8a7362c29e054d4dbd1407e6031c0fed,10369,807,云铝股份,7.71,-35000,7.71,-35000,0,已成
13:26:33,mslh18hait6618,SJNATa228796e71a94540b560856453fc9445,10375,688099,晶晨股份,72.98,-700,72.98,-700,0,已成
13:27:29,mslh18hait6618,SJNAT7cc4036f852b45b5b452daa90b7f04f8,10377,300280,紫天科技,47.5,400,0,0,400,已撤
13:29:29,mslh18hait6618,SJNAT874b12c91b154921b52c10693425a50c,10381,600478,科力远,4.93,10800,4.93,10800,0,已成
13:29:56,mslh18hait6618,SJNAT69854c55fa68487eb294b0b36dba7251,10384,655,金岭矿业,8.41,-10900,8.41,-10900,0,已成
13:29:59,mslh18hait6618,SJNATfb4493c21f0b479f8f09c875cc31a61e,10387,655,金岭矿业,8.4,-3600,8.4,-3600,0,已成
13:30:57,mslh18hait6618,SJNAT672ac4cbc3a9472d8764e6f83c637284,10390,2396,星网锐捷,21.57,100,21.56,100,0,已成
13:31:28,mslh18hait6618,SJNAT22a9ced8bab44116890068196952caa4,10392,300053,欧比特,8.51,2900,0,0,2900,已撤
