DataDate,AcctIDByMXZ,SecurityID,WindCode,SecName,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaOnLastTrdDate,QtyToTerminate,QtyToLock,QtyToBorrowFromPublicSecPool,QtyToBorrowFromOutsideSource,_id
20201125,307_m_hait_2000,000711,000711.SZ,京蓝科技,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cca
20201125,307_m_hait_2000,000725,000725.SZ,京东方A,27800,1,20800.0,224000.0,18400.0,0.0,9400.0,0.0,0.0,5fbe35af8ac917c027707ccb
20201125,307_m_hait_2000,000752,000752.SZ,*ST西发,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707ccc
20201125,307_m_hait_2000,000762,000762.SZ,西藏矿业,10800,1,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,5fbe35af8ac917c027707ccd
20201125,307_m_hait_2000,000780,000780.SZ,*ST平能,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cce
20201125,307_m_hait_2000,000796,000796.SZ,凯撒旅业,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707ccf
20201125,307_m_hait_2000,000798,000798.SZ,中水渔业,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cd0
20201125,307_m_hait_2000,000807,000807.SZ,云铝股份,16600,1,0.0,0.0,0.0,0.0,0.0,0.0,16600.0,5fbe35af8ac917c027707cd1
20201125,307_m_hait_2000,000809,000809.SZ,铁岭新城,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cd2
20201125,307_m_hait_2000,000811,000811.SZ,冰轮环境,19000,1,0.0,0.0,0.0,0.0,0.0,0.0,19000.0,5fbe35af8ac917c027707cd3
20201125,307_m_hait_2000,000816,000816.SZ,智慧农业,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cd4
20201125,307_m_hait_2000,000820,000820.SZ,*ST节能,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cd5
20201125,307_m_hait_2000,000829,000829.SZ,天音控股,20600,1,0.0,0.0,0.0,0.0,0.0,0.0,20600.0,5fbe35af8ac917c027707cd6
20201125,307_m_hait_2000,000830,000830.SZ,鲁西化工,11400,1,0.0,0.0,0.0,0.0,0.0,0.0,11400.0,5fbe35af8ac917c027707cd7
20201125,307_m_hait_2000,000831,000831.SZ,五矿稀土,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cd8
20201125,307_m_hait_2000,000835,000835.SZ,*ST长动,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cd9
20201125,307_m_hait_2000,000851,000851.SZ,高鸿股份,20800,1,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,5fbe35af8ac917c027707cda
20201125,307_m_hait_2000,000868,000868.SZ,ST安凯,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cdb
20201125,307_m_hait_2000,000869,000869.SZ,张裕A,3800,1,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,5fbe35af8ac917c027707cdc
20201125,307_m_hait_2000,000877,000877.SZ,天山股份,8400,1,0.0,0.0,0.0,0.0,0.0,0.0,8400.0,5fbe35af8ac917c027707cdd
20201125,307_m_hait_2000,000887,000887.SZ,中鼎股份,10800,1,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,5fbe35af8ac917c027707cde
20201125,307_m_hait_2000,000889,000889.SZ,中嘉博创,23600,1,0.0,0.0,0.0,0.0,0.0,0.0,23600.0,5fbe35af8ac917c027707cdf
20201125,307_m_hait_2000,000890,000890.SZ,*ST胜尔,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707ce0
20201125,307_m_hait_2000,000908,000908.SZ,景峰医药,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707ce1
20201125,307_m_hait_2000,000918,000918.SZ,嘉凯城,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707ce2
20201125,307_m_hait_2000,000923,000923.SZ,河钢资源,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707ce3
20201125,307_m_hait_2000,000929,000929.SZ,兰州黄河,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707ce4
