,_id,DataDate,AcctIDByMXZ,SecurityID,CompositeSource,LoanType,InterestFromPublicSecLoan,InterestFromPrivateSecLoan,PenaltyFromDefault,PenaltyFromPrepay,PenaltyFromOverdue,FeeFromSecLoan,AccruedInterestFromPublicSecLoan,AccruedInterestFromPrivateSecLoan,AccruedPenaltyFromDefault,AccruedPenaltyFromPrepay,AccruedPenaltyFromOverdue,AccruedFeeFromSecLoan
67,5fd1c822a132de052031908c,20201209,307_m_hait_2000,300666,AutoT0,secloan_from_private,0.0,9.37,0.0,0.0,0.0,9.37,0.0,93.67,0.0,0.0,0.0,93.67
68,5fd1c822a132de052031908d,20201209,307_m_hait_2000,600531,AutoT0,secloan_from_private,0.0,10.78,0.0,0.0,0.0,10.78,0.0,107.79,0.0,0.0,0.0,107.79
69,5fd1c822a132de052031908e,20201209,307_m_hait_2000,300502,AutoT0,secloan_from_private,0.0,10.74,0.0,0.0,0.0,10.74,0.0,85.92,0.0,0.0,0.0,85.92
70,5fd1c822a132de052031908f,20201209,307_m_hait_2000,000830,AutoT0,secloan_from_private,0.0,31.67,0.0,0.0,0.0,31.67,0.0,253.38,0.0,0.0,0.0,253.38
71,5fd1c822a132de0520319090,20201209,307_m_hait_2000,600066,AutoT0,secloan_from_private,0.0,34.91,0.0,0.0,0.0,34.91,0.0,279.27,0.0,0.0,0.0,279.27
72,5fd1c822a132de0520319091,20201209,307_m_hait_2000,300274,AutoT0,secloan_from_private,0.0,8.62,0.0,0.0,0.0,8.62,0.0,60.35,0.0,0.0,0.0,60.35
73,5fd1c822a132de0520319092,20201209,307_m_hait_2000,600196,AutoT0,secloan_from_private,0.0,8.98,0.0,0.0,0.0,8.98,0.0,53.91,0.0,0.0,0.0,53.91
74,5fd1c822a132de0520319093,20201209,307_m_hait_2000,688068,AutoT0,secloan_from_private,0.0,17.44,0.0,0.0,0.0,17.44,0.0,104.65,0.0,0.0,0.0,104.65
75,5fd1c822a132de0520319094,20201209,307_m_hait_2000,000039,AutoT0,secloan_from_private,0.0,17.11,0.0,0.0,0.0,17.11,0.0,102.68,0.0,0.0,0.0,102.68
76,5fd1c822a132de0520319095,20201209,307_m_hait_2000,600196,AutoT0,secloan_from_private,0.0,6.84,0.0,0.0,0.0,6.84,0.0,22.45,0.0,0.0,0.0,22.45
77,5fd1c822a132de0520319096,20201209,307_m_hait_2000,688116,AutoT0,secloan_from_private,0.0,38.57,0.0,0.0,0.0,38.57,0.0,120.55,0.0,0.0,0.0,120.55
78,5fd1c822a132de0520319097,20201209,307_m_hait_2000,688138,AutoT0,secloan_from_private,0.0,41.67,0.0,0.0,0.0,41.67,0.0,130.22,0.0,0.0,0.0,130.22
79,5fd1c822a132de0520319098,20201209,307_m_hait_2000,688021,AutoT0,secloan_from_private,0.0,40.45,0.0,0.0,0.0,40.45,0.0,126.41,0.0,0.0,0.0,126.41
80,5fd1c822a132de0520319099,20201209,307_m_hait_2000,688068,AutoT0,secloan_from_private,0.0,12.37,0.0,0.0,0.0,12.37,0.0,38.65,0.0,0.0,0.0,38.65
81,5fd1c822a132de052031909a,20201209,307_m_hait_2000,688389,AutoT0,secloan_from_private,0.0,43.41,0.0,0.0,0.0,43.41,0.0,135.67,0.0,0.0,0.0,135.67
82,5fd1c822a132de052031909b,20201209,307_m_hait_2000,688288,AutoT0,secloan_from_private,0.0,43.41,0.0,0.0,0.0,43.41,0.0,135.67,0.0,0.0,0.0,135.67
83,5fd1c822a132de052031909c,20201209,307_m_hait_2000,688011,AutoT0,secloan_from_private,0.0,30.3,0.0,0.0,0.0,30.3,0.0,94.68,0.0,0.0,0.0,94.68
84,5fd1c822a132de052031909d,20201209,307_m_hait_2000,688015,AutoT0,secloan_from_private,0.0,44.42,0.0,0.0,0.0,44.42,0.0,138.8,0.0,0.0,0.0,138.8
85,5fd1c822a132de052031909e,20201209,307_m_hait_2000,300558,AutoT0,secloan_from_private,0.0,30.78,0.0,0.0,0.0,30.78,0.0,92.34,0.0,0.0,0.0,92.34
86,5fd1c822a132de052031909f,20201209,307_m_hait_2000,600486,AutoT0,secloan_from_private,0.0,10.9,0.0,0.0,0.0,10.9,0.0,32.69,0.0,0.0,0.0,32.69
87,5fd1c822a132de05203190a0,20201209,307_m_hait_2000,600486,AutoT0,secloan_from_private,0.0,6.54,0.0,0.0,0.0,6.54,0.0,19.62,0.0,0.0,0.0,19.62
88,5fd1c822a132de05203190a1,20201209,307_m_hait_2000,600486,AutoT0,secloan_from_private,0.0,8.72,0.0,0.0,0.0,8.72,0.0,26.16,0.0,0.0,0.0,26.16
89,5fd1c822a132de05203190a2,20201209,307_m_hait_2000,600486,AutoT0,secloan_from_private,0.0,8.72,0.0,0.0,0.0,8.72,0.0,26.16,0.0,0.0,0.0,26.16
90,5fd1c822a132de05203190a3,20201209,307_m_hait_2000,002408,AutoT0,secloan_from_private,0.0,19.66,0.0,0.0,0.0,19.66,0.0,58.99,0.0,0.0,0.0,58.99
91,5fd1c822a132de05203190a4,20201209,307_m_hait_2000,300296,AutoT0,secloan_from_private,0.0,35.01,0.0,0.0,0.0,35.01,0.0,105.04,0.0,0.0,0.0,105.04
92,5fd1c822a132de05203190a5,20201209,307_m_hait_2000,300601,AutoT0,secloan_from_private,0.0,34.8,0.0,0.0,0.0,34.8,0.0,104.39,0.0,0.0,0.0,104.39
93,5fd1c822a132de05203190a6,20201209,307_m_hait_2000,600531,AutoT0,secloan_from_private,0.0,24.76,0.0,0.0,0.0,24.76,0.0,74.29,0.0,0.0,0.0,74.29
94,5fd1c822a132de05203190a7,20201209,307_m_hait_2000,300274,AutoT0,secloan_from_private,0.0,11.24,0.0,0.0,0.0,11.24,0.0,22.48,0.0,0.0,0.0,22.48
95,5fd1c822a132de05203190a8,20201209,307_m_hait_2000,688011,AutoT0,secloan_from_private,0.0,11.54,0.0,0.0,0.0,11.54,0.0,23.08,0.0,0.0,0.0,23.08
96,5fd1c822a132de05203190a9,20201209,307_m_hait_2000,688108,AutoT0,secloan_from_private,0.0,3.46,0.0,0.0,0.0,3.46,0.0,6.91,0.0,0.0,0.0,6.91
97,5fd1c822a132de05203190aa,20201209,307_m_hait_2000,601636,AutoT0,secloan_from_private,0.0,36.6,0.0,0.0,0.0,36.6,0.0,73.2,0.0,0.0,0.0,73.2
98,5fd1c822a132de05203190ab,20201209,307_m_hait_2000,601899,AutoT0,secloan_from_private,0.0,35.23,0.0,0.0,0.0,35.23,0.0,35.23,0.0,0.0,0.0,35.23
99,5fd1c822a132de05203190ac,20201209,307_m_hait_2000,002044,AutoT0,secloan_from_private,0.0,28.48,0.0,0.0,0.0,28.48,0.0,28.48,0.0,0.0,0.0,28.48
100,5fd1c822a132de05203190ad,20201209,307_m_hait_2000,300274,AutoT0,secloan_from_private,0.0,16.53,0.0,0.0,0.0,16.53,0.0,16.53,0.0,0.0,0.0,16.53
101,5fd1c822a132de05203190ae,20201209,307_m_hait_2000,300666,AutoT0,secloan_from_private,0.0,24.41,0.0,0.0,0.0,24.41,0.0,24.41,0.0,0.0,0.0,24.41
102,5fd1c822a132de05203190af,20201209,307_m_hait_2000,000887,AutoT0,secloan_from_private,0.0,34.58,0.0,0.0,0.0,34.58,0.0,34.58,0.0,0.0,0.0,34.58
103,5fd1c822a132de05203190b0,20201209,307_m_hait_2000,300496,AutoT0,secloan_from_private,0.0,35.62,0.0,0.0,0.0,35.62,0.0,35.62,0.0,0.0,0.0,35.62
